"arc_length","function_2403 (imaginary part)_Magnitude","function_2403 (real part)_Magnitude","function_2535 (imaginary part)_Magnitude","function_2535 (real part)_Magnitude"
9.7411,0.875634,1.32466,0.72126,1.37682
9.75807,0.856885,1.32657,0.704021,1.38478
9.77504,0.823734,1.32148,0.675139,1.38613
9.79202,0.790068,1.31134,0.6463,1.38237
9.80899,0.740881,1.28764,0.605667,1.3657
9.82596,0.724303,1.28127,0.591649,1.36333
9.84293,0.682772,1.26375,0.555397,1.3517
9.8599,0.637621,1.23325,0.519591,1.32597
9.87687,0.602693,1.21936,0.487132,1.31711
9.89384,0.564504,1.18914,0.456854,1.29049
9.91081,0.514212,1.15931,0.412448,1.26557
9.92778,0.472095,1.12295,0.378511,1.23376
9.94475,0.441937,1.10738,0.35289,1.21973
9.96172,0.402114,1.06331,0.322774,1.18046
9.97869,0.348412,1.01707,0.279171,1.13752
9.99566,0.292582,0.967228,0.235306,1.09007
10.0126,0.248376,0.942859,0.198223,1.06538
10.0296,0.224167,0.888941,0.187848,1.01527
10.0466,0.175402,0.824985,0.160534,0.952117
10.0635,0.142204,0.801261,0.139349,0.928059
10.0805,0.154579,0.730627,0.166383,0.859328
10.0975,0.122678,0.705415,0.147703,0.830643
10.1145,0.170739,0.634084,0.193657,0.761787
10.1314,0.195767,0.5738,0.21828,0.699731
10.1484,0.235141,0.534752,0.250287,0.65577
10.1654,0.279302,0.47153,0.287044,0.584475
10.1823,0.319594,0.410552,0.322346,0.525184
10.1993,0.373961,0.346352,0.367496,0.45142
10.2163,0.394392,0.333644,0.382082,0.427696
10.2332,0.450827,0.270429,0.430552,0.351719
10.2502,0.501998,0.208712,0.473758,0.273057
10.2672,0.53089,0.227493,0.495337,0.260554
10.2842,0.565479,0.190925,0.525135,0.192842
10.3011,0.584858,0.205972,0.540461,0.182051
10.3181,0.653743,0.248367,0.597321,0.169874
10.3351,0.688705,0.273176,0.627172,0.164302
10.352,0.704634,0.292813,0.638973,0.180079
10.369,0.742203,0.390061,0.668646,0.281538
10.386,0.760439,0.408739,0.683424,0.29471
10.403,0.816038,0.471721,0.729914,0.36727
10.4199,0.828844,0.500963,0.739659,0.398958
10.4369,0.864208,0.578303,0.768157,0.48416
10.4539,0.874804,0.610664,0.775986,0.519299
10.4708,0.894874,0.697885,0.790478,0.613055
10.4878,0.903006,0.72222,0.795577,0.640816
10.5048,0.92374,0.778464,0.812376,0.705675
10.5217,0.930529,0.801443,0.816448,0.732478
10.5387,0.936425,0.826642,0.820309,0.760914
10.5557,0.947273,0.922847,0.826314,0.870926
10.5727,0.951745,0.939693,0.828796,0.891808
10.5896,0.950358,0.992227,0.825323,0.953067
10.6066,0.950741,1.01157,0.824218,0.976868
10.6236,0.944852,1.0534,0.817011,1.02751
10.6405,0.941545,1.07041,0.812636,1.04842
10.6575,0.936559,1.08744,0.806956,1.0691
10.6745,0.926799,1.11844,0.796612,1.10971
10.6915,0.913602,1.13795,0.784053,1.13574
10.7084,0.890928,1.16702,0.76129,1.17258
10.7254,0.859675,1.19522,0.730949,1.2081
10.7424,0.832194,1.21342,0.704097,1.23354
10.7593,0.820326,1.21821,0.692739,1.24189
10.7763,0.808461,1.22301,0.681386,1.25024
10.7933,0.774507,1.20979,0.653832,1.24865
10.8102,0.749204,1.2185,0.628913,1.26197
10.8272,0.696025,1.21683,0.580442,1.26773
10.8442,0.672439,1.22035,0.557569,1.27451
10.8612,0.657047,1.21599,0.543655,1.27325
10.8781,0.616896,1.1907,0.51078,1.25623
10.8951,0.541415,1.17803,0.439638,1.24993
10.9121,0.522036,1.16943,0.42215,1.24411
10.929,0.47041,1.14372,0.376941,1.22406
10.946,0.444152,1.13204,0.352925,1.21484
10.963,0.373256,1.09213,0.291161,1.18071
10.98,0.36933,1.07505,0.292102,1.1657
10.9969,0.283112,1.02352,0.21655,1.11931
11.0139,0.261248,1.00696,0.197856,1.10449
11.0309,0.242195,0.98956,0.18532,1.08867
11.0478,0.208049,0.934688,0.165759,1.03825
11.0648,0.187271,0.917154,0.153913,1.02156
11.0818,0.121114,0.867011,0.111795,0.972374
11.0987,0.14033,0.800801,0.14825,0.908958
11.1157,0.116654,0.780228,0.138365,0.886933
11.1327,0.183841,0.714045,0.202049,0.824372
11.1497,0.197414,0.688693,0.216047,0.79901
11.1666,0.247593,0.616065,0.264779,0.725654
11.1836,0.300194,0.561858,0.30802,0.668848
11.2006,0.319506,0.537913,0.324564,0.643811
11.2175,0.385729,0.460935,0.383582,0.561099
11.2345,0.406415,0.437852,0.401025,0.535445
11.2515,0.448254,0.371987,0.439442,0.474267
11.2685,0.468049,0.348628,0.456067,0.447798
11.2854,0.552603,0.264412,0.527488,0.34803
11.3024,0.573389,0.245384,0.545067,0.321438
11.3194,0.64032,0.188709,0.602904,0.232892
11.3363,0.659475,0.187076,0.618955,0.213788
11.3533,0.695278,0.105872,0.651213,0.113473
11.3703,0.734828,0.200548,0.683024,0.154587
11.3872,0.755989,0.184042,0.701359,0.107995
11.4042,0.772669,0.217199,0.715249,0.133114
11.4212,0.821155,0.269257,0.755817,0.18009
11.4382,0.835218,0.299417,0.767312,0.211229
11.4551,0.878908,0.376604,0.803869,0.293672
11.4721,0.890384,0.406464,0.813041,0.325683
11.4891,0.925018,0.5122,0.841029,0.439797
11.506,0.932947,0.543444,0.846926,0.473456
11.523,0.940082,0.577859,0.851598,0.510763
11.54,0.953442,0.659582,0.86101,0.599362
11.557,0.95724,0.680733,0.862556,0.623015
11.5739,0.973941,0.746082,0.875636,0.69875
